Tweet0,Tweet1,Tweet2,Tweet3,Tweet4,Tweet5,Tweet6,Tweet7,Tweet8,Tweet9,Tweet10,Tweet11,Tweet12,Tweet13,Tweet14,Tweet15,Tweet16,Tweet17,Tweet18,Tweet19,Tweet20
"@J_Sleek_21 @sydneytooRAW_  jaxson now has diabetes lmao","is not on! One from diabetes UK trird to invite herself in! Thankfully thr @macmillancancer took im busy (were eating) and didnt push","ugh Im just 100% sure that I have diabetes someone pls give me health insurance","I think Im getting diabetes soon !","RT @theresnohinsara: @HeatherGabel it was in a book, the smart womans guide to diabetes, and I was like hey, thats me! :) just got a new â€¦","O_O lmaooo RT ‏@AlphaGemini_ Yall still making excuses for why you got the hypertension and diabetes?","@cath_1994 walk in centres are a joke I got turned away when I went there suspecting I had diabetes! Get to a real hospital","@rodstreater80 my unhealthy lifestyle with diabetes in my family I lost 30 pounds &amp; gained muscle turned my life around #Motivationalmonday","@taraspratz feckang make this fuckery for my bday pwease. i will fn die bc i will get diabetes but itll be worth itðŸ‘Œ","@RyanPoptart Id leave there with diabetes.","@HeatherGabel it was in a book, the smart womans guide to diabetes, and I was like hey, thats me! :) just got a new endo, starting over!","@Abi_Coleman_ I couldve easily carried on eating more until I had diabetes..... Sooo good! X","@stephenfry I havent listened for years.  How is Walter Gabriels diabetes these days?","@dark_scone fuck it YOLO!  Seriously though I should cut down my sugar intake as diabetes runs in the family.","@EricaSedillo13 but no she has diabetes","#KnowYourAnon i have diabetes. ive had it for 8 years.","Working at a cupcake shop has gotten me a few steps closer to having diabetes.","@dallasoops i am too i wanted to get out to sleep but i have diabetes so i cant","If I truly wanted to suffer the possible diabetes, Id just eat a whole gallon of ice cream to myself. Twice."
"RT @amidiabetic: Diabetes and the athlete - Luka has T1 and plays University soccer for Ryerson.  So how does me manage his diabetes?","I wouldnt be surprised if I ended up with diabetes.. Yall be surprised from the amounts of recess and skittles I eat. Lol","Skill furthermore empathy something like diabetes.: .dky","i want to make fudge but im literally one snickers away from diabetes, help me @grimmers","Im simply protecting the children from early onset diabetes. Im a hero.","@EllieHurwood stop bragging about your diabetes","@SilverAutomatic If you look to your left, you still have diabetes.","@Intoxicaholic_x I mean like its to check for diabetes? ðŸ˜‚","Those fucking kfc bowls will be the death of me... diabetes","got my cup of liquid diabetes, now Im about to post up, enjoy this book, text the bae, then ko. Have a good week everyone.","@Mayge_22 whatever helps you sleep at night knowing your nephew is gonna get type 2 diabetes soon #obese","yo I swear I got diabetes this week, Ive eaten nothing but straight junk food sugar and salt all week","My teacher assigned last minute homework on blackboard. I hope he gets diabetes.","@BoxofScrolls I will definitely order some once my pregnancy is over and Ive got the all clear with my gestational diabetes ðŸ˜‰","I told him I had diabetes and he never talked to me ever again. I dont even have diabetes.","@ally_millerxo Im sorry babe, I cant control my diabetes","@Sir_Harry1 @Aykis16 haha I think youd be OK. It happens when areas get dirty and theres poor blood circulation (diabetes, smoking)","@matt_0410 @Your_MUMUS no no no chockies are GREAT gift - as person w diabetes they test my self control ;) thal you for having me @#oweek","@mokai77 easy explanation is that diabetes could be fatal. I think its a broader issue with social priorities around health though."
"My thoughts and prayers are with #WWELegend @JakeSnakeDDT in 1998 I was diagnosed with type 2 diabetes Im fighting everyone for a cure!","f medince immediately necessary, the system is screwing us. 4wks &amp; no meds,6 weeks no diabetes strip, 6 mos no medicare, applied aug for 1/1","Making soup at 11:50pm cause its all I have and diabetes is a bitch.","I can already feel the diabetes ðŸ˜‹","Cfod trim communications network: foods to synthesize good understanding yours vocoid digger diabetes high-vita...","My sister Kiley has just been recently diagnosed with type 1 diabetes. Help support our team Kileys Kure Krew in the Stoon Telus Walk!","This commercial says smoking makes diabetes worse. How about we just not get diabetes and smoke perfectly fine?","@Jordynn_69 good luck with diabetes and such","@Playboy_HollyV Another sleepless night dam eye I hate diabetes","@Crystalbbeee_ ahh i no! Obese type 2 diabetes","4 hot pockets a beer and some raviolis. By the age of forty Ill be on my second liver and lose a foot to diabetes. I need a change of diet.","gabbi just said that she cant imagine having to live with a disease then immediately realized she has diabetes","First thing I learned at the age of 28? Leftover Oreo birthday cake should not be your breakfast, but is almost worth the diabetes.","I think thats why people get offended by me like idgaf I aint sugar coating shit nah, niggas die from diabetes with all that ðŸ˜©ðŸ˜‚âœ‹","RT @angeldeshan: Its not good Koolaid unless you can taste the diabetes with every sugary sip.","Diabetes steady eating my insides, fucking my vision up, I swear to god I feel like giving up.","RT @ASAP_TB: Terio was funny at first until I looked into his eyes and saw the heart failure, diabetes, high blood pressure, and club foot â€¦","@StevenDAgostin1 steve can i join the diabetes fan club? I heard ur like almost their leader","@lefancygeek Im so glad girl scouts dont sell cookies in Oz.  Id def have diabetes if someone would bring cookies to my doorstep."
"@AwkwardDiabetes how long have you had T1 diabetes?","@deadly_diabetes: Can someone tell me why the Scouting Combine is not pushed back when the @nfl Draft isnt until May now? #nfl #combine","I think I have diabetes","@ChristinaCMH Yay, Im gonna die of obesity/diabetes sooner! It may sound disgusting, but if you like McDoubles and McChickens, it rocks.","RT @lindseymcalpin: â€œ@cat_trina_: the worst part about diabetes is having to drink juice right after you brush your teethâ€ @lexiweddle #theâ€¦","My sister Kiley has just been recently diagnosed with type 1 diabetes. Help support our team Kileys Kure Krew in the Stoon Telus Walk!","@sarahkraemerr what if Im anorexic ? Or what if I need sugar cause I have diabetes ? What if I just want some damn ice cream!?","He had diabetes and got one of his leg chopped off. He later on died.","Approximately 33.33% of the Jonas Brothers have diabetes.","Laying in bed eating a pack of Nutter Butters ðŸ˜³ diabetes cant be that bad right?","RT @DGfighton: Ambers ex Gary has the biggest stomach i have ever seen. There isnt a way that dude doesnt have diabetes","Watching Golden Girl reruns is nice because all the diabetes ads show what the Golden Girls wouldve actually looked like. #cheesecake","I swear my boyfriends going to get diabetes if i keep buying him a bunch of candy","RT @SupJvse: Uh yes I would like diabetes in a cup please","Also while were at it, fuck tooth decay, Micheal Bay, diabetes, stepping on glass,  and wooden spatulas.","#KnowYourAnon i have diabetes. ive had it for 8 years.","HEALTH FACT: The estimated cost of treating diabetes and its complications in the world is estimated as $215-375 billion.","@jeeesssicaa yes, yes it does. That would be a lot of ice cream. Thats how you get diabetes.","Narayan: Today 382 million have diabetes...by 2035 estimated that 592 million people will have diabetes!!"
"@type1girl: human pincushion bc of diabetes.","If you were a sweet, Id immediately have diabetes. ðŸ˜„","dad handed me a glass of water &amp; said drink it, youre gonna get diabetes from all that tea you drink HAHAHAH aweðŸ˜«","So freaking hungry, but noo, gotta fast till this diabetes test is over-.-","RT @mrpresidenta: i want a woman who will eat ice cream with me until the diabetes takes us","Diabetes steady eating my insides, fucking my vision up, I swear to god I feel like giving up.","@quentin_ss77 join the fan club ill make you a full pledged member your status is now moved from type 2 diabetes to type 1","@lorinzinter have you been tested for diabetes?","I wish diabetes was contagious, my life would be so much cooler","Oh and diabetes","@campaign_EARL wat? lol she think i got diabetes","RT @cat_trina_: the worst part about diabetes is having to drink juice right after you brush your teeth","â€œ@cat_trina_: the worst part about diabetes is having to drink juice right after you brush your teethâ€ @lexiweddle #thestruggle","@quentin_ss77 what diabetes?","@Zer0Skye its not as diabetes as baby seals but it is quite cute","My sister Kiley has just been recently diagnosed with type 1 diabetes. Help support our team Kileys Kure Krew in the Stoon Telus Walk!","Hanging out: the unforeseen incomplex accomplished fact fast by diabetes!: ecxWVYo","@McDonalds dont worry about how salty or greasy your french fries are. Just remember that theyre not good until you can taste the diabetes.","@TERA1PATRICK @chopper1patrick whats happened? my dog RubySueosg her eyesight at Xmas she was diagnosed with diabetes :( is he okay??"
"this man is single handedly trying to give me diabetes","Uh yes I would like diabetes in a cup please","And if its sweet then ima eat it till I get sugar diabetesðŸ‘…","I just went to Walmart and bought type 2 diabetes for $17. #SoyAmericano","Golden Corral = Where people go to get diabetes","It just sucks having diabetes, cause when I get a low blood sugar, I HAVE to eat.","RT @pattyspankpants: @TERA1PATRICK @chopper1patrick whats happened? my dog RubySueosg her eyesight at Xmas she was diagnosed with diabetesâ€¦","@imarapeyoface The amount of diabetes from all the Mtn Dew drinking would be astronomical","@Zer0Skye jesus christ i just got severe diabetes from that image thanks","Gotta get up early in the morning for a board meeting. Great things are in the works! #diabetes #LongviewTypeOne","#perksofdatingme diabetes isnt contagious... i think","Two things to have as compensation for a lonely life. Cirrhosis and diabetes. You can always have both..","Holy fuck, whoever created sour cream wants me to die of diabetes in one bite. Thnx taco bell for ruining my day","@zoe_tsholofelo #Cancer, #diabetes,  #blood #pressure &amp; #heart #deseases, #oats protects u 4rm them. Jst buy original not instant oats!","you know what they say about people with big hands..that if itsbigger than your face you have diabetes ojk hâ€¦","@RMG_jeffrey I am pulling for you buddy.....Diabetes isnt a joke....plz take it seriously...your a great guy and wish you the best.","sometimes I feel like eating icecream cake cupcakes cookies &amp; chocolate but I dont want diabetes","My son Diabeto will not have diabetes?","Besides having diabetes and some parasites cleared up Im good, can u say that with all ya monies?Naahh I seen ya Drs report!!"
"Its only a matter of time until I get diabetes.","How do people drink tea without any sugar?! As a Somali and a shaah addict, it pains me to cut out sweeteners. #sugar #diabetes #somali #tea","RT @ialwayshadaphd: I put enough sugar in my tea for my great grandchildren to get diabetes","Improve your health, our products help with chronic pain, fibromyalgia, diabetes even cancer. Check out my site today for more info!","@_TeezyTayy @Fat_Veezy yo fat ass one away from diabetes boy","It just sucks having diabetes, cause when I get a low blood sugar, I HAVE to eat.","@bwhntr1995 @SydneeZimmerman yeah i did once, but i havent had a thing with diabetes yet, whats that like?","Every time I do / say something diabetic related the Gold Bond diabetes commercial comes on ðŸŒš","I swear to god Im gonna get diabetes.","@DiabeticGirls He came to the diabetes camp I work at..he was a real cool guy","I hope to meet Ray Allen and help his familys fight against type one diabetes. I have had T1D for 13 years &amp; always gotta stay optimistic!","@Sectt_ @polandpants embrace the fact that your dad lost a leg to diabetes.","My dad is always talkin about how he needs to eat better since he has diabetes but then he grabs 3 PB cookies at a time","On girl that I follow is really cute and has diabetes but she is older than me...","i want a woman who will eat ice cream with me until the diabetes takes us","@driverRyanReed #DSDshirt is awesome! Im taking new steps to control my diabetes and joining the movement to Stop Diabetes!","I have fallen in love with @dimplesXxxO sorry yall. I just need her mutual grit hating and diabetes causing frosted flakes ways in my life.","human pincushion bc of diabetes.","RT @KaylinTaughtYou: finding the cure for diabetes cause my jiggas still sufferin"
"next time I go to a metal show Im going to hold diabetes needles in my hands and tape some to my heels when I pit","Overuse of soft drinks wears out the pancreas and makes the cells resistant to insulin, resulting in the disease we know as diabetes.","The fact that my boyfriend has diabetes stresses me out so much ðŸ˜”","Answer: Bob has diabetes :|","If I got a chocolate for everytime I got called ugly, I would have diabetes. ._.","@KMcAllister4 I have diabetes.","The cookie I just ate tasted like diabetes.","Aziza do you take Mike with his future of diabetes, emphysema, and erectile dysfunction for the rest of your life?#90dayfiance","Teacher: John has 32 cookies and eats 28 of them. What does John have now? Me: Diabetes. John has diabetes.","@Edinaaa_xo: I think @OVO_Jay23 had diabetes","@MV_diabetes congrats. we take pride in having an eye for recognizing the real contributor #eyeforeye","the real question is WHY am i watching a show about diabetes instead of studying","Me: 10. I aint givin away my damn cake..get your own diabetes","RT @Prather_1291: Today made 16 years of me having type 1 diabetes. Its hard to believe how fast its gone by and with very small, minor câ€¦","Looks like I will be doing the diabetes bike ride in June. If anyone would like to donate holla at me. Even $5 helps.","By helping him with his diabetes Im helping myself.","@lolitsnick @brittbrittd03 Oh well I have diabetes now like is that really whats important here?","The end of kool aid is diabetes","Currently at my peak weight of 150, starting to worry about type 2 diabetes"
"#diabetes 4 grams of carbs = 1teas sugar. Big Mac, Fries, Lrg Coke has 78.25 teasp sugar. Its not the fat...its the sugar!","@michaela_rose28 see its funny cause a part of me is literally dead inside. #diabetes","I thank god i dont have diabetes . Im pretty close i needa slow down","Lol someone started a rumour that I have diabetes type 2","RT @dontclickthis: You know whats so wrong with Lucky Charms? Theres some weird crunchy bits mixed in with the marshmallows #diabetes","#KnowYourAnon i have diabetes. ive had it for 8 years.","real talk how is byakuran not dead from diabetes","Stop being dramatic , I have them too â€œ@iM_AiREE: Hope I dont have diabetes...but I got the symptoms the call out on the commercialsâ€","RT @ASAP_TB: Terio was funny at first until I looked into his eyes and saw the heart failure, diabetes, high blood pressure, and club foot â€¦","Really happy i got to see @Luscombe_83 last night. Missed you! Sure hope you dont have diabetes. Haha.","@jennakanderson: Ive self-diagnosed myself with type 2 diabetes. @Edgasmmm","Hope I dont have diabetes...but I got the symptoms the call out on the commercials","My blood sugar is low but I dont wanna move bc diabetes doesnt own my life if I wanna sit in bed Ill sit in bed ðŸ˜Ž","@SKETCHYWIGGER but its probably diabetes","@gabiisilvaaa that shit looks bomb... But is screaming diabetes","The reason I got serious with my gym and weight loss is cuz my dads diabetes got worse.","Start Improving your health today, helps with chronic pain, fibromyalgia, diabetes and even cancer. Visit my site today for more info!","OMG its youre speak fucking English b4 you reply bitch you just gave me diabetes","Cake will be the death of me. Instead of being normal and eating a single piece, I eat 5. #fat #diabetes"
"@jonahaguilera1 @celesteeee_v nigga u said diabetes, i still didnt know what it was ðŸ˜’ðŸ˜‚","@AngusTam349 nobody wants to share diabetes stay away for your own good. Eat Nutella","RT @DGfighton: Ambers ex Gary has the biggest stomach i have ever seen. There isnt a way that dude doesnt have diabetes","@jakeee1717 LOL you can weigh 350 pounds and have type II diabetes and be able to make left turns for 4 hours","yes, i know nick jonas has diabetes. thanks.","It just sucks having diabetes, cause when I get a low blood sugar, I HAVE to eat.","RT @aftermxdnight: @krxstie @teenmerrikat i can already feel the diabetes i will be diagnosed with when i leave the park","Woke up just now with massive thirst... sugars only at 6.1 though?? #diabetes","Its been 20 seconds since I retweeted that and all thats happened to me is my progression towards diabetes","I never said u didnt know more about diabetes than me I said youre not an expert which is a big difference","Lol hate u @NahNuhGyal: Brian: I have diabetes","Brian: I have diabetes","Remember when I thought diabetes was contagious","Alexs mom made better than sex chex mix and I cant stop eating it and so ya long story short I have diabetes","EVERYONE I made a team for walk to cure diabetes on May 18th, and I need team members please join me ðŸ˜ŠðŸ™†","O_O lmaooo RT ‏@AlphaGemini_ Yall still making excuses for why you got the hypertension and diabetes?","@touchmeusa fuck you to captian diabetes!","@celesteeee_v jesus all that sugar, it really is diabetes ðŸ˜²ðŸ˜³","@Kayleaboo until you have diabetes ðŸ˜…"
"Ive self-diagnosed myself with type 2 diabetes.","There are days when i just want to give up on diabetes","RT @CMo_93: I have fallen in love with @dimplesXxxO sorry yall. I just need her mutual grit hating and diabetes causing frosted flakes wayâ€¦","@ValenQueenah bitch you favoriting shade? i thought they take away electronics in the ICU, youre dieing of diabetes right? im praying","keeping up with the kardashians &gt;&gt; studying diabetes","@RMG_jeffrey I am pulling for you buddy.....Diabetes isnt a joke....plz take it seriously...your a great guy and wish you the best.","Bitch if I wanna be fat and die from diabetes I will.","RT @RLawler3: Caught that subtweet just like I caught diabetes","living and thriving with diabetes hahaha","@tarynglynn how good does diabetes sound...","Looking at BG data, its non-linear, asymptote filled, and doesnt fit any stat distribution you want to see. #diabetes","Jeff Ross beat the joker. Jeff Ross cant even beat diabetes. @I_Am_Rocrates","@amcritt I sneezed so I guess I have type 2 diabetes #webmdlogic","Id love to get my diabetes under control and thus actually be able to lose weight and not gain it after working out and dieting.","My mom seriously wants me to have diabetes always cooking good desserts","@EllieHurwood stop bragging about your diabetes","RT @BigGucciMaster: I was so disappointed. I thought I finally found something worth diabetes smh RT @BeckyBaybe: Ew them chicken &amp; wafflesâ€¦","Improve your health, helps with chronic pain, fibromyalgia, diabetes and even cancer. Check out my site and start feeling better today!","And if its sweet then imma eat it till I get sugar diabetes"
"I want lots of unhealthy things that may possibly cause diabetes.","That was the most sugar coated conversation ever. I almost got diabetes listening to yall","Girl Scout cookies are so sweet! Idk how people obsess over them, every time I eat one I feel like Im eating enough to give me diabetes","@desbehonest fuck around and get diabetes","RT @KenzieHedlund: Alexs mom made better than sex chex mix and I cant stop eating it and so ya long story short I have diabetes","He has diabetes...enough said...","the worst part about diabetes is having to drink juice right after you brush your teeth","RT @ialwayshadaphd: I put enough sugar in my tea for my great grandchildren to get diabetes","If I ever get diabetes Im blaming Krispy Kreme and sugared rims on my margaritas","Today made 16 years of me having type 1 diabetes. Its hard to believe how fast its gone by and with very small, minor complications.","I was so disappointed. I thought I finally found something worth diabetes smh RT @BeckyBaybe: Ew them chicken &amp; waffles chips taste nasty af","how the hell do girls drink starbucks like 3 times a day. I feel like thats so much damn sugar. yum diabetes!","@masonj12 @savannah_payne if yall did get one... Unfortunately I wouldnt recommend having it live with me.... She would die of diabetes. ðŸ™…","RT @Dylan_chittick: @jennakanderson: Ive self-diagnosed myself with type 2 diabetes. @Edgasmmm","Gosh Ashley its not like youre gonna get butter diabetes lol","@RMG_jeffrey I am pulling for you buddy.....Diabetes isnt a joke....plz take it seriously...your a great guy and wish you the best.","@krxstie @teenmerrikat i can already feel the diabetes i will be diagnosed with when i leave the park","RT @type1girl: with diabetes my mood can go from your best friend to your worst nightmare in like 3 seconds. #sorryboutit #diabeticprobs","It smells like diabetes in here"
"I jus drank three pitchers of koolaid...diabetes #BARS","Feelin the diabetes kicking in #ThanksMom ðŸ˜","Ima have diabetes watch!","Dude my grandmas cat has diabetes. Fat little fucker takes shots &amp; everything lol.","RT @GC_GivingBack: There are more than 20 people being newly diagnosed with diabetes every hour.","He has diabetes...enough said...","@jord_leavens bring those jewely things and a pizza (diabetes)","@_xRareInnocence lmfao you gone get diabetes eatin all that","The way old people say diabetes makes me laugh uncontrollably","Idk y im so freaking skinny the way i eat i should be obese and have diabetes","Nothing makes me more mad then when people post a picture of candy or just food and hashtag diabetes. Like no bye ðŸ˜ðŸ‘‹","@SleepingWitSkip dont laugh at my diabetes bitch nigga","Ambers ex Gary has the biggest stomach i have ever seen. There isnt a way that dude doesnt have diabetes","@cayleeofficial yeah because I was having those symptoms and I was really close to having diabetes","I finished my algebra homeworks. So im rewarding myself with enough ice cream to give the entire american army diabetes","It just sucks having diabetes, cause when I get a low blood sugar, I HAVE to eat.","RT @T1Diabetes101: You. Cannot. Catch. Diabetes. #EndOfStory #Goodnight #diabetes101","RT @ninyacalleja: Villa on report about Napoles condition:on her diabetes,we had to adjust medication;on abdominal pain,I recommended gyneâ€¦","@PortableShua I was the one who dried his tears when his pet iguana got diabetes!"
"RT @YoungPlatinum: what does your dad being diagnosed with diabetes have to do with Cancer? #Catfish","I am getting diabetes just watching them put together the crave case","@SleepingWitSkip it takes me longer because diabetes goes straight to your legs and then you cant walk right duhhh","@NaturalFoodsMD so how do I cure my type 1 diabetes with a healthy diet?","RT @austin_hume: @kathyco__ Im stocked up with diabetes","@RMG_jeffrey I am pulling for you buddy.....Diabetes isnt a joke....plz take it seriously...your a great guy and wish you the best.","Smelling them gave me type 2 diabetes.","@secretsandtats +mean im weak or anything it just means i have an illness just like diabetes or epilepsy you wouldnt expect those people to+","If I keep eating the way I did today Im going to have diabetes by 20","@cali2miami_ Pani is pani. Drink THAT and not diabetes juiceâ€¦.oh my God I sound like my Abboo","@asekitou All Mimis blood work came back OK. No diabetes/thyroid problems. Shes burning cals scratching, so hes lost 2lbs. Allergies.","finding the cure for diabetes cause my jiggas still sufferin","@hashtagkarry honestly if I could skip school to eat food I would be in diabetes heaven","i dont feel good anymore and find out today diabetes runs in my family. #thissux","I think that cupcake is gonna give me diabetes","My sister Kiley has just been recently diagnosed with type 1 diabetes. Help support our team Kileys Kure Krew in the Stoon Telus Walk!","Bulimia, binge eating linked to adult-onset diabetes - Medscape Psychiatry","@EmilyDitsch i have diabetes","My diabetes munch is donee"
"No bish thats diabetes","Like Im trying to catch diabetes.","RT @FriendlyAssh0le: Fat bitches cant wait for halloween.. thinking about all that candy like they dont have diabetes already Smh..","RT @T1Diabetes101: Accepting diabetes and managing it is sort of a blessing. It will strengthen you as a person in the long run. #diabetes1â€¦","@mallow610 Dan youre gunna develop diabetes with your HIGH SUGAR DIET! I hope theres a fair countering dose of healthy, wholesome food too","Diabetes steady eating my insides, fucking my vision up, I swear to god I feel like giving up.","@brittannie11 @danparlee thats almost a diabetes tweet ;) Dan! kidding. It was a blast #teamawesome","Get your grandma to say diabetes around me and ill fuckin lose it","@HighImPat how can I have an addiction to diabetes when I physically have it","@jdeloma I was drinking a lot of milk last year, discovered due to combo of Type II diabetes &amp; vitamin D deficiency","@thediabeteslady Yes,  Im sure it helps but as a t1d I will never be able to reverse my diabetes without a cure. Will check it out though.","@SkaisAngle2003 @5paneI you arent though* speak fucking english that gave me diabetes. Oh, &amp; honey, I wasnt talking about meâ˜ºï¸ðŸ‘‹","RT @RachelAnyFanny: This dude is crying because his dad got diagnosed with diabetes?? Jesus dude grow a pair its not a death sentence #catâ€¦","Ive managed to eat chick-fill-a, Dennys, papa johns, hot dogs, nachos and Panda Express within a couple days without getting diabetes.","how to get a boyfriend: say things like What do puppies think about? and Pour some sugar on me so that I may develop type two diabetes.","The reason I got serious with my gym and weight loss is cuz my dads diabetes got worse.","@kathyco__ Im stocked up with diabetes","@shellyshells626 He had diabetes! Happns all the time!One will tak all ther time takin care of the other&amp;so they get sic! Not caren4themself","@akamlawson im actually in danger of getting diabetes, but the food is too damn good"
"Do you want diabetes with that?","mini vans look like those giant pills u take when u have a cold on wheels the ones mr krabs takes in the mornin for his diabetes","Are any of my followers members of Students with Diabetes at college? Im super excited for the conference this summer! #diabetes101","I found out that my grandpa has diabetes, and that hes not doing very well, hes been in the hospital almost 3 months.","@_ThatGirl_Jas @A_Vanderveer_ @_Anthh_10 @77_BigMike @sakely6 they prolly have diabetes now..","My sister Kiley has just been recently diagnosed with type 1 diabetes. Help support our team Kileys Kure Krew in the Stoon Telus Walk!","Everybody check out my boy @drewbaginski. Hes a good bowler. He has diabetes. And he hates me a lot. Like... a lot a lot.","@vunetta imagine a guy like on cake boss. He bakes so much and his family eating it all the time, screams diabetes","Alhamdulillah gd review with 2nd cardiologist. Things are looking gd. Now focus on dads walking &amp; manage his diabetes.","Smell this candle, its in the scent diabetes","@PoetThee: @deja_gonzales diabetes you sound like lucio","Accepting diabetes and managing it is sort of a blessing. It will strengthen you as a person in the long run. #diabetes101","I think that cake gave me diabetes","Accepting diabetes and managing it is sort of a blessing. It will strengthen you as a person in the long run. #diabetes","@josestweets we are gonna get diabetes but we can fuck it off afterwards HAHAHAHHAHAH","He has diabetes...enough said...","glorious day til diabetes decided to sucker punch me in my testicles","Caught that subtweet just like I caught diabetes","You know whats so wrong with Lucky Charms? Theres some weird crunchy bits mixed in with the marshmallows #diabetes"
"RT @MaggieTreichler: Everybody check out my boy @drewbaginski. Hes a good bowler. He has diabetes. And he hates me a lot. Like... a lot a â€¦","@davidbrandonjew Im not tryna get diabetes","T3 ? I also Thank #doctors &amp; #HCPs 4 good care especially 4 my #demented mother write &amp; verbalise Is part of #advocacy 2 #diabetes #hcsm","@samfbiddle have fun getting diabetes","I need too learn more about diabetes cause ill definitely be taking care of marques alot.","#KnowYourAnon i have diabetes. ive had it for 8 years.","Villa on report about Napoles condition:on her diabetes,we had to adjust medication;on abdominal pain,I recommended gynecological workup","Stupid edgepark. Why cant you just do your job without my nagging? #diabetes","@bretmichaels we lost a sister this week from Gastroparesis as a result of diabetes. We need to increase awareness, can you please retweet?","@achattypatty I got diabetes reading this","When Im old Im most likely going to have diabetes, high cholesterol and all of that shit","I keep getting emails about attending an event to learn how to reverse my diabetes through eating. Like stop. It wont work and you suck","RT @leblanc_luc: @brittannie11 @danparlee thats almost a diabetes tweet ;) Dan! kidding. It was a blast #teamawesome","RT @RLawler3: Caught that subtweet just like I caught diabetes","With the amount of Reeses Ive had today Im on a straight path to type 2 diabetes","O_O lmaooo RT ‏@AlphaGemini_ Yall still making excuses for why you got the hypertension and diabetes?","@KelsTheSecular @GodFreeWorld holy shit theyd ask me if such &amp; such was OK for their diabetes, or Dr Oz said this is a miracle. Fools","@SleepingWitSkip I cant my diabetes are acting up","Accepting diabetes and managing it is sort of a blessing. It will strengthen you as a person in the long run #Promise"
"Landon keeps making fun of James diabetes and James keeps pulling out his gun. ðŸ˜³","@Jawadkhan95 loool learnt from the best ðŸ’ lool you got diabetes? Aww you taken your insulin dose yet","I swear Im going to get diabetes in a few years, I eat way too much chocolate.. #sweettooth","I dont think girl scouts are of God... 4 lemonade cookies=300 calories...out here selling diabetes for $4 a box! THE DEVIL!","Niggas wanna eat ass but dont even got diabetes","He has diabetes...enough said...","@angielaur_ yesterday I fed my dog soda and whispered diabetes in his ear","RT @RoyJrConfess: Kru and Justin dont really have diabetes they just shoot heroin.","Getting diabetes is one of my top 10 fears in life","doctor says u have type one diabetes","@servantblessed just really been hit hard w/ my new medicine for my diabetes &amp; it makes me feel a lot older &amp; a lot harder to dance:/","Here at Robinsons! Krispy Kreme with @earthtonicoIe @MGLviola #dozendonuts #diabetes :)))","I am a division 2 college athlete. I didnt let my diabetes stop me! Whats your story?","@connorkoster Connor peeing a lot does not mean you have diabetes ðŸ˜‚","unique sweets on the cooking channel make you feel like you got diabetes but its worth it!","By helping him with his diabetes Im helping myself.","RT @angeldeshan: Its not good Koolaid unless you can taste the diabetes with every sugary sip.","Want some diabetes with that coffee? ðŸ˜‚ðŸ˜‚ðŸ˜‚ I cant.","Maybe Carl has diabetes from all that pudding #twd"
"RT @jahazielmusic: God is good!! Almost sure I was gonna pass out on stage tonight! Living with diabetes is tough sometimes.","â€œ@angeldeshan: Its not good Koolaid unless you can taste the diabetes with every sugary sip.â€","@jahazielmusic: God is good!! Almost sure I was gonna pass out on stage tonight! Living with diabetes is tough sometimes. Devil is a liar.","Im going to get diabetes from culvers","RT @tommyluongg: Nahhhhh wtfff asian hitler u know. I had to hold in the laughter I think im gettin hit with diabetes. Whys my chest hurtinâ€¦","The reason I got serious with my gym and weight loss is cuz my dads diabetes got worse.","How can you deal with diabetes? Everything is complicated for me ... @nickjonas","I told my mom how bad my feet were killing me and she said I might be getting diabetes...","Improve your health, helps with chronic pain, fibromyalgia, diabetes even cancer. Check out my site!","@natemods_nate i want more diabetes nathan","The amount of sugar I consumed this weekend probably gave me diabetes #dozendonuts","@JNJCares @CanadaRuns Thank you for sharing the story! #diabetes #inspiration","RT @stockejock: Hey Im a Girl Scout and this is crazy, but heres some Thin Mints and diabetes maybe.","#RHOA look at greg popping offâ€¦better stop before his blood pressure risesâ€¦he got the sugah Im sure (diabetes)","Sweet tea at canes? More like diabetes tea, that shit has too much sugar in it. Ugh!","He has diabetes...enough said...","RT @j_waters15: @ipodwojniak he is not going to get diabetes. Maybe tooth decay though","HEALTH FACT: The estimated cost of treating diabetes and its complications in the world is estimated as $215-375 billion.","Thinking about going vegetarian? @sharonpalmerRD suggests you start by kicking off your week with Meatless Monday. #diabetes"
